X,Y,Z
-5.999795221569399e-05,-0.0018074011655995438,-0.0008542257619031129
0.0,-0.0,-0.0
0.0,-0.0,-0.0
-2.6721523926135607e-05,-0.0018125182461358976,-0.000845023045581086
-1.5627072156859417e-05,-0.0018141013450575106,-0.0008418981437537168
-4.5320915750375005e-06,-0.0018156230556690702,-0.0008387447525013091
6.563042370566377e-06,-0.0018170833264766276,-0.0008355629785330942
1.7657954225998047e-05,-0.001818482108065325,-0.0008323529295187606
2.8752268544818813e-05,-0.001819819353101073,-0.000829114714084811
3.9845609900811545e-05,-0.0018210950163321474,-0.0008258484418108854
0.016147219437575633,-0.5776719459086204,-0.26074967775049956
0.019879933100441227,-0.584419389091954,-0.2625639112331824
0.023470249242354857,-0.585681212173998,-0.2618982439985304
0.027112960787014195,-0.5878371089911872,-0.2616266221867889
0.031062773821451006,-0.5954546834870587,-0.26376663370023307
0.034355638925513965,-0.5902674798251927,-0.2602307208365406
0.037639594070371374,-0.5859691919904894,-0.2571077761659259
0.04099541600413381,-0.5834760674241145,-0.2547922079118578
0.04424685173055115,-0.580046058884551,-0.2520809193827276
0.04835638825199251,-0.5875764256112844,-0.2541252228404434
0.05109746402319443,-0.5786124499389996,-0.249039592659561
0.05562654621938823,-0.5897707036441966,-0.2526109127994185
0.05909163491329411,-0.5890065939812167,-0.2510546146058589
0.06244626700040429,-0.5873059441981991,-0.2491048638945718
0.06567377037874234,-0.5846682117518838,-0.24676720335927124
0.06929976903846868,-0.5856760088895987,-0.2459720085068855
0.07293443946144007,-0.5866641872984585,-0.24516475453312037
0.07645819288168315,-0.5867159742846693,-0.24396427657314754
0.07947948702239843,-0.5830807254952772,-0.24123831786935196
0.08258455752145147,-0.580342271079135,-0.23889675548796546
0.08619769599970217,-0.5812513664710813,-0.23806051838188177
0.08939456340418461,-0.5793905014361876,-0.23609171024276
0.0933011149769647,-0.5820936748899088,-0.23598076019763511
0.09678016505511561,-0.582026860100539,-0.23474112839391773
0.09946652410299786,-0.5773581470568379,-0.23165502304864827
0.10291156500883475,-0.5772527804236182,-0.23040943204292164
0.1065219357307357,-0.578043943962046,-0.22951977913158003
0.10944253393732617,-0.5751517251835299,-0.22717141355310444
0.11376448837661476,-0.5795662182601486,-0.22770520494932844
0.11628539794486195,-0.5748053985504891,-0.22463411667408772
0.11970098524388065,-0.5746030554354425,-0.22335404444027226
0.12350460663876303,-0.5762105386424123,-0.22277364384085624
0.1275272155180164,-0.5787112180249221,-0.2225290002658338
0.1305436372696872,-0.5766208721759711,-0.22051707755875025
0.1335339673878356,-0.5745126813481138,-0.21850599241555063
0.13758665899631442,-0.5769514340826315,-0.21822234244522234
0.13988231549093513,-0.5720685741011471,-0.21517324832212653
0.14440417635867187,-0.5762900927319021,-0.21554860156188074
0.1468701820924938,-0.5722850293895463,-0.21284506360414618
0.15120214761710077,-0.5755507465316627,-0.2128456846846448
0.15410430213726478,-0.5733317751924005,-0.21081415680931984
0.15672981484475446,-0.5701865578914151,-0.20845166536487456
0.16033917282826496,-0.570660899891161,-0.2074162803255502
0.1634324859344988,-0.5692985938101144,-0.20571333472047185
0.16730755507469874,-0.5706401195202424,-0.20498547803805436
0.17146959722001123,-0.572865732299875,-0.20456555612269658
0.17482786208579024,-0.5723502865935595,-0.20316103179703368
0.1770524857744245,-0.5681963803922131,-0.20047273366274485
0.18123930829401316,-0.5703574263125286,-0.20001443031662816
0.18311164815062475,-0.565269908077577,-0.19701805460298194
0.1879028452983328,-0.5691929700503489,-0.19716220867519896
0.18970987924023364,-0.5640764418267532,-0.19417514774228892
0.19269110084789418,-0.5625509427638398,-0.1924359021844462
0.19753663507587488,-0.5664028394076149,-0.19252836260561554
0.2017902787415706,-0.568429054161798,-0.19198467208374184
0.20347642186440312,-0.5632544069509099,-0.1890128174160878
0.2077372621253867,-0.5652380186229862,-0.18844698242062236
0.21001577770165422,-0.5618278686482953,-0.18608289947873327
0.21395408137957397,-0.5628729977918088,-0.1851964052339905
0.21790586019634034,-0.5638942410191721,-0.18429421532852827
0.2215210043610879,-0.5640005116691904,-0.18308710492201558
0.22336343103006778,-0.5596365663705727,-0.1804347567877964
0.2283993739278779,-0.5632597822367249,-0.18035561520617358
0.22982513852544206,-0.5579798728085212,-0.17742569554601514
0.23304438111661618,-0.5571231891995048,-0.17591213341832257
0.23700696091790965,-0.558016355710574,-0.17494713541974863
0.23983981517781236,-0.5562362491362532,-0.1731420436982654
0.24381169988353335,-0.5570845478973795,-0.1721531244558961
0.2466231079457415,-0.5552682187718443,-0.17033878244473757
0.25060373014452414,-0.5560714683456542,-0.1693260554508297
0.252591391865157,-0.552465208241274,-0.16697260713139642
0.25819397097164243,-0.556727761731828,-0.16699137696552008
0.26138218789898443,-0.5557099183426106,-0.16541428540082623
0.2628976473240964,-0.551184752001429,-0.16280120687092975
0.26815293581253163,-0.5544883088437272,-0.16249845953965758
0.2717451931778375,-0.5542812357345998,-0.16115482090190808
0.27275285421466655,-0.5488496479242373,-0.15830023694288203
0.27806010015389654,-0.5520699426640969,-0.15794104505139583
0.2807627407147839,-0.5500727292783502,-0.15608109082335384
0.28344604154689357,-0.5480604847546717,-0.15422092559619743
0.2870110638468338,-0.5477531033239496,-0.1528404985941536
0.29057615236153833,-0.5474234864975518,-0.1514497960127049
0.2950618009732279,-0.5487838904239077,-0.15051849317074933
0.2986362692869128,-0.5484058178299647,-0.14910218891504542
0.301740323021566,-0.5471530614001963,-0.1474460239065461
0.3057838212027239,-0.5475823846336751,-0.14623903554175408
0.30887695491786893,-0.5462886224718521,-0.14456775734960745
0.3129284425796447,-0.5466688254493098,-0.14333534399728523
0.3155209347074714,-0.5444898435062153,-0.1414298496255184
0.3185871528563519,-0.5431386619314955,-0.13974144780752829
0.3221412544013404,-0.5426090420352102,-0.13826234283648017
0.32569391206955345,-0.5420567854425741,-0.13677330194281034
0.3292449717319377,-0.5414818540680886,-0.13527436111896665
0.33176873199918333,-0.5392174087179257,-0.13335334165676366
0.33478935292255074,-0.5377703258964899,-0.13163656362397505
0.34040914176023573,-0.5404495932673354,-0.13091931255907327
0.34290344340388124,-0.5381280933809995,-0.12898222131870338
0.34643957673707326,-0.5374415694959377,-0.12743701230682325
